Nom,CodeInsee,Code postal,Arrondissement,Canton,Intercommunalité,Superficie(km2),Population(dernière pop. légale),Densité(hab./km2),Modifier
Loge-Fougereuse,85125,85120,Fontenay-le-Comte,La Châtaigneraie,CC du Pays-de-la-Châtaigneraie,"10,37",383 (2022),37,NA
Longèves,85126,85200,Fontenay-le-Comte,Fontenay-le-Comte,CC Pays-de-Fontenay-Vendée,"11,72",1 360 (2022),116,NA
Longeville-sur-Mer,85127,85560,Les Sables-d'Olonne,Talmont-Saint-Hilaire,CC Vendée-Grand-Littoral,"38,05",2 442 (2022),64,NA
Luçon,85128,85400,Fontenay-le-Comte,Luçon,CC Sud-Vendée-Littoral,"31,52",9 450 (2022),300,NA
Les Lucs-sur-Boulogne,85129,85170,La Roche-sur-Yon,Aizenay,CC de Vie-et-Boulogne,"53,15",3 671 (2022),69,NA
Maché,85130,85190,La Roche-sur-Yon,Challans,CC de Vie-et-Boulogne,"18,13",1 754 (2022),97,NA
Les Magnils-Reigniers,85131,85400,Fontenay-le-Comte,Luçon,CC Sud-Vendée-Littoral,"17,96",1 461 (2022),81,NA
Maillé,85132,85420,Fontenay-le-Comte,Fontenay-le-Comte,CC Vendée-Sèvre-Autise,"17,66",757 (2022),43,NA
Maillezais,85133,85420,Fontenay-le-Comte,Fontenay-le-Comte,CC Vendée-Sèvre-Autise,"20,33",895 (2022),44,NA
Mallièvre,85134,85590,La Roche-sur-Yon,Mortagne-sur-Sèvre,CC du Pays-de-Mortagne,"0,20",240 (2022),1 200,NA
